Temperature,Dress_Class
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-25,4
-24,4
-24,4
-24,4
-24,4
-24,4
-24,4
-24,4
-24,4
-24,4
-24,4
-24,4
-24,4
-23,4
-23,4
-23,4
-23,4
-23,4
-23,4
-23,4
-23,4
-22,4
-22,4
-22,4
-22,4
-22,4
-22,4
-22,4
-22,4
-22,4
-22,4
-22,4
-21,4
-21,4
-21,4
-21,4
-21,4
-21,4
-21,4
-21,4
-21,4
-21,4
-21,4
-21,4
-21,4
-20,4
-20,4
-20,4
-20,4
-20,4
-20,4
-20,4
-19,4
-19,4
-19,4
-19,4
-19,4
-19,4
-19,4
-19,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-18,4
-17,4
-17,4
-17,4
-17,4
-17,4
-17,4
-17,4
-17,4
-17,4
-16,4
-16,4
-16,4
-16,4
-16,4
-16,4
-16,4
-16,4
-16,4
-16,4
-16,4
-16,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-15,4
-14,4
-14,4
-14,4
-14,4
-14,4
-14,4
-14,4
-14,4
-14,4
-14,4
-14,4
-13,4
-13,4
-13,4
-13,4
-13,4
-13,4
-13,4
-13,4
-13,4
-13,4
-13,4
-12,4
-12,4
-12,4
-12,4
-12,4
-12,4
-12,4
-12,4
-12,4
-11,4
-11,4
-11,4
-11,4
-11,4
-11,4
-11,4
-11,4
-11,4
-11,4
-10,3
-10,3
-10,3
-10,3
-10,3
-10,3
-10,3
-10,3
-10,3
-10,3
-10,3
-10,3
-9,3
-9,3
-9,3
-9,3
-9,3
-9,3
-9,3
-9,3
-9,3
-9,3
-8,3
-8,3
-8,3
-8,3
-8,3
-8,3
-8,3
-8,3
-8,3
-8,3
-8,3
-7,3
-7,3
-7,3
-7,3
-7,3
-7,3
-7,3
-7,3
-7,3
-7,3
-7,3
-7,3
-6,3
-6,3
-6,3
-6,3
-6,3
-6,3
-6,3
-6,3
-6,3
-6,3
-6,3
-6,3
-6,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-5,3
-4,3
-4,3
-4,3
-4,3
-4,3
-4,3
-4,3
-4,3
-4,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-3,3
-2,3
-2,3
-2,3
-2,3
-2,3
-2,3
-2,3
-2,3
-2,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
7,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
8,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
16,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
18,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
19,1
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
25,0
25,0
25,0
25,0
25,0
25,0
